Channel no.,"Channel's region
(detailed)",x-coordinate,y-coordinate,z-coordinate,"Channel region
(use this)"
99,Superior Temporal Gyrus     Rolandic_Oper_L,-55.53191489,0.617021277,1.723404255,'Rolandic_Oper_L'
100,Midbrain    Vermis_1_2,-1.588235294,-42.73755656,-22.94570136,'Vermis_1_2'
101,Superior Temporal Gyrus     Temporal_Mid_R,46.2688172,-53.40860215,16.87096774,'Temporal_Mid_R'
102,ParaHippocampal_L,-18.26011561,-13.94797688,-28.15606936,'ParaHippocampal_L'
103,Superior Temporal Gyrus    Temporal_Pole_Sup_L,-42.34042553,12.70212766,-19.93617021,'Temporal_Pole_Sup_L'
104,Middle Frontal Gyrus     Frontal_Mid_R,25.30150754,28.12562814,38.14572864,'Frontal_Mid_R'
105,Middle Occipital Gyrus     Occipital_Mid_L,-45.62433862,-80.15343915,4.026455026,'Occipital_Mid_L'
106,Inferior Frontal Gyrus    Frontal_Inf_Oper_R,39.55813953,8.581395349,29.25581395,'Frontal_Inf_Oper_R'
107,Midbrain,0.051162791,-23.79069767,-11.81860465,'Midbrain'
108,Inferior Frontal Gyrus    Precentral_L,-36.6,6.314285714,29,'Precentral_L'
109,Superior Temporal Gyrus   Rolandic_Oper_L,-40.08737864,-32.63106796,16.86407767,'Rolandic_Oper_L'
110,Rectal Gyrus   ,3.418079096,18.86440678,-25.53107345,'RectalGyrus   '
111,Parietal_Inf_L,-31.61244019,-51.44976077,41.03827751,'Parietal_Inf_L'
112,Inferior Frontal Gyrus    Frontal_Inf_Oper_L,-52.48837209,17.81395349,12.93023256,'Frontal_Inf_Oper_L'
113,Middle Occipital Gyrus     Occipital_Sup_L,-9.598870056,-100.9322034,12.25423729,'Occipital_Sup_L'
114,Middle Frontal Gyrus   Frontal_Inf_Orb_R,27.82208589,33.72392638,-17.40490798,'Frontal_Inf_Orb_R'
115,Superior Frontal Gyrus   Frontal_Sup_R,27.42758621,61.62068966,8.531034483,'Frontal_Sup_R'
116,Parahippocampa Gyrus   Fusiform_R,26.46875,-37.828125,-13.28125,'Fusiform_R'
117,Insula     Rolandic_Oper_R,42.75257732,-26.58762887,17.49484536,'Rolandic_Oper_R'
118,Middle Occipital Gyrus    Temporal_Inf_R,50.92820513,-64.22051282,-11.43076923,'Temporal_Inf_R'
119,Superior Temporal Gyrus    Temporal_Mid_L,-41.7173913,-58.19565217,15.26086957,'Temporal_Mid_L'
120,Fusiform Gyrus    Fusiform_L,-37.9132948,-82.87283237,-18.28323699,'Fusiform_L'
121,Uncus      Temporal_Pole_Sup_R,28.48022599,9.576271186,-25.46327684,'Temporal_Pole_Sup_R'
122,Middle Temporal Gyrus     Temporal_Mid_L,-57.99516908,-39.31884058,-5.048309179,'Temporal_Mid_L'
123,Medial Frontal Gyrus    Rectus_L,-8.660377358,60.40880503,-17.41509434,'Rectus_L'
124,Anterior Cingulate    Cingulum_Ant_R,13.25742574,44.24752475,6.465346535,'Cingulum_Ant_R'
125,Inferior Frontal Gyrus    Frontal_Inf_Oper_R,56.825,16.15,15.7,'Frontal_Inf_Oper_R'
